a doppio senso,双行道
a senso unico,单行道
abbandonare ,放弃
abbassamento ,下沉
accelerazione ,加速
accertarsi ,确实确认
accese ,开着
accesso ,进入
accingere ,正要
accodare ,排队尾随
accordarsi ,准许
accostare ,接近
adottare ,收集
affiancare ,并排
affiancata ,合并安置
affrettara agombrare,快速撤离
affrettarsi ,赶快
agevore ,使方便
aggiornamento ,变更
aggiuntivo ,补充
allentare ,解开
alt stazione,停在收费站
alternare ,交替
alternati ,对面
altero ,改变
ammessi ,宣布
ammortizzatori ,减震器
ampiezza ,宽
animale ,动物
anomalia ,异常
appannamento ,模糊
appare ,好像
applicare ,实行
applicare ,申请
approffitare ,利用
aquaplanning ,水帘
area ,地区
arreca ,导致
arrestare ,停车
arrestar ,停止
asini ,驴
asistere ,帮助
assenza ,缺乏
asse ,轮轴
atto ,行为
attraversamenti ciclanili,自行车横道
attraversamenti pedonali,人行横道斑马线
attrezzare ,生效
aumentare la distanza di,
aumentare ,增加
autorimessa ,车库
autosnodati ,双截体
autostrade ,高速公路
avvicinarsi ,接近
avvocomarsi ,接近
basato ,根据
baule ,后备箱
bretelle ,背心
bruscamente ,粗暴
brusche ,粗暴
caduto ,摔倒
camminare ,走
campo ,引人注目的
cantiere stradale,施工工地
caravan evitare,房车避免
carreggiate ,车道
carrello appendice,两轮挂
carrozzeria ,车体
cartello ,路牌
cassetto ripostiglio,储存箱
cedevoli ,松软
censente ,允许
chiunque ,无论任何人
circolando ,行驶
circolazione ,重新开始行驶之前
circolazione ,通行
civile ,民用
codicepenale ,刑法规定
coefficiente ,因素
coinvolto ,复杂
collaudare ,检测
colonna ,一排
colonnina ,圆柱
complesso ,复杂
comporta ,行为
comprendere ,包括
compreso ,包括
compromesso ,受到伤害
comunita europea,欧共体
concludere ,停止结束
condizionano ,形成以条件
confine ,国界
confluenza ,合流
connessa ,连接
connesso ,关联连接
continua ,实现
corretto ,正确的
costodito ,看守
creare ,创造
curva ,弯道
danneggiare ,损害
danni ,损害
dare lapresenzare,让行
debitamente ,明确
debitamente ,妥善
decelerazione ,减速
decollo ,起飞
deformato ,畸形
delineatore ,岔路
deperibili ,腐化
destinata ,指定用于
destinata ,预定
destinazione ,目的地
detergere ,清洗
determinate ,决定
dietro ,后面的
differenziale ,差速器
diminuire la velocit,
diminuire ,减小
diritto ,直接
discontinua ,虚线
disinserire ,解开
disordine ,不整洁混乱的
disponbile ,空余的
disponibile ,即将
disporsi ,组织整理
dispositivo ,装置
dissestata ,坑地
dissestato ,危险
distante ,远的
distanza di sicurezza,安全距离
distrarsi ,转移
distrazione ,分心
distrutto ,毁灭
diurne ,白天
dizionatoreTecnico ,技术员
dolore ,疼痛悲伤
dosso ,山坡
dotata ,具有
dovuta ,由于
durante ,持续
e commisureto,根据
effettuarsi ,实行
elettrico ,电的
elevare ,提高
emergenza ,紧急
emissione ,发出
equivalere ,等于
escludere ,除去
escludersi ,除了
esclusivamente ,除去
esclussivamente ,只要
esecuzione ,实现实行
esercitare ,施加行使
esigenza ,紧急
esterno ,最外
estrarre ,拔出
eventuale ,可能大概
evidenziare ,强调
fanciullo ,幼稚孩子气
fango ,泥水
fenomeno ,现象
fermata ,暂时停车
fermi incolonna,接近一排车的成
fermi ,停车
fiancheggiati ,拥护
file pur,一排绝对的
filtro ,过滤器
finestrino ,车窗
fine ,结束
fisico ,人体
fissare ,固定
folle ,空挡
foratura ,漏气
forza ,增加
frana ,山崩
frature ,骨折
freno ,刹车
frizione ,离合器
funzione ,功能
furgone ,轻型货车
galleria ,隧道
garantire ,保证
garanzia ,保证
garza ,纱布
gassate ,碳有汽
gettare ,丢扔
godere ,享有
gradinata ,刨冰
grado ,级别
grave ,很大的
guinzaglio ,链锁
generalita ,概述
hotel ,旅馆
Identifica ,识别
identifica ,识别
il diretto diprecedenza,先行
il limite massimo di velocita,最
ilcasello dell autostrada,收费台
ilcertificato diproprieta,产权
imperdire ,防止
impianti ,行为
impone ,要求
importi ,有关
imprevisto ,意外的
in figura,指示
incoscienza ,失去知觉的
incrocio urbano,市区内
incrocio ,交叉
indica ,指示
indifferentemente ,随意
indinazione ,倾向
industriale ,产业
inergratore dimentari,营养品
inerzia ,惯性
ingombrare ,堵塞
ingresso ,入口
inquinano ,
integrative ,补充
interferire ,干预
interno ,内部的
intero ,完全的
interruzione ,中断
intervento diprimo soccorso,
intervento ,介入干预
intralciare ,阻碍
invadere ,侵犯
involontare ,非自愿
itinerario ,路线
itirerario ,线路
la forza aderente si oppone,
lacintura di sicurezza,安全带
lampeggiante ,闪烁
lanciare ,扔
lapossibilita di trovare veicoli,
larga ,宽度
l assicurazione,保险
laterale ,两侧
lesione ,裂缝
leva delcambio,换挡杆
limitarsi ,限于
limitrofa ,接近
linquido ,液体
localita ,地方
longitudinamente ,长度上
luce diposizione,信号灯
manca ,缺少
maniglia ,把手
manomesse ,转手
manovra ,转动
marcia ,行驶
marmitta ,消音器
martinetto cric,千斤顶
massa ,承载
massimo ,最大
mediante ,从头到尾
melma ,淤泥
merita ,应的
mezzo ,手段
militare ,军事
minimo ,最小
misto ,混合
mobile triangolo dipericolo,移
mobile ,活动的
molo ,码头
molo ,码头
monovra ,实行
motore ,马达
movimento ,瞬间行为
munti ,具备
neppure ,即使
nettamente ,少于
norme ,正常
notevole ,显著的
obbliga ,必须
ogni volta,每次
olio ,油
omologare ,批准
omologato ,认可赞同
opprosito ,明确
organico ,组织
oscillazione ,摆动振荡
ospedale ,医院
ospedaliero ,医院
osservate ,观察关注
ostacolo ,障碍物
pallido ,暗淡
parabrezza ,挡风玻璃
paraurti ,保险杆
parcheggiare ,停车
parchimetro ,停车器
pari ,相等
passare ,通行
pattinare ,打滑
pedonali ,人行
pedoni ,行人
percorrere ,行驶
percorribile ,可以通行
perdere olio,漏油
pericolo ,危险
perilcoloso ,危险
periodicamente ,定期地
permettere ,允许
pianeggiante ,平坦
piegato ,弯曲
pneumatici ,轮胎
pneumatico sull asfatto,附着力
poma della benzina,油泵
portiera ,车门
possibilita ,接近
posteggiato ,放置
potenza ,压力
preannuncia ,根据
preavvisa ,通知
preavviso ,预先通知
precedente ,前面
precludere ,防止阻碍
prescrive di dare lapresenza,规
pressione ,压力
prestazione ,性能
prima di essere rimesso in,
privi ,没有
privo ,缺少
prodotto ,产生
profondita ,深深
proibito ,禁止
proiettare ,扔
provedere ,防备预见
provinienti ,来源
provocare ,导致
provvisoria ,临时
prudenza ,小心
purche ,只要
qualunque ,任何的
qualsiasi ,所有的
raccordare ,连接
raccordo ,连接处
radiatore ,散热器
radiatore ,水箱
raffiguratore ,根据
raffigurato ,表示
rafforzato ,增加的
raggiungere ,到达
rallentamento ,减速
recintare ,栏杆
recintata ,隔音板
rediduo ,剩下
regolamentata ,调整
respiratorie ,呼吸
responsabilita ,责任
restringimento ,缩小
retrocedere ,回来
rettilineo ,直线跑到
reversibile ,逆转
revisione ,修改
revisione ,年检
ribaltare ,翻转
richiede ,需要需要
riferire ,描述报告
riflesso ,反应
rilievo ,突出
rimorchio ,挂车
rimozione ,清除托走
riservato ,保留
rispettare ,遵守
ritirare ,撤回
rocciosa ,山
rotaroria ,环岛行驶
rugoso ,粗糙
rumore ,噪音
ruota di scorta,备用轮胎
ruote ,轮胎
sagoma ,形成
saldo ,不动摇
salita ,上坡
salvagente ,就是那种台阶可以下行
sanitario ,卫生
sbarrare ,阻碍
scaduta ,过期
scivolare ,滑行
scoppio ,爆发
sdrucciolevole ,滑的
secondaria ,第二条
sedile ,车座
